City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Camacha,33.0833,-16.3333,62.02,88,0,6.91,PT,2022-02-10 01:40:56
123,Port Blair,11.6667,92.75,78.84,78,20,9.22,IN,2022-02-10 01:40:57
124,Lander,42.833,-108.7307,43.61,44,0,13.8,US,2022-02-10 01:40:58
125,Atherton,53.5237,-2.4935,42.35,81,100,1.01,GB,2022-02-10 01:40:58
126,Tigre,-34.426,-58.5796,74.21,81,0,10.36,AR,2022-02-10 01:40:59
127,Bandar-E Lengeh,26.5579,54.8807,66.42,50,0,3.58,IR,2022-02-10 01:40:45
128,Tonj,7.2737,28.6822,76.84,24,10,6.46,SS,2022-02-10 01:41:00
129,Gunjur,13.2019,-16.7339,73.47,73,0,6.91,GM,2022-02-10 01:41:01
130,Kamenka,51.3223,42.7678,13.06,94,56,7.23,RU,2022-02-10 01:41:02
131,Nome,64.5011,-165.4064,-9.33,64,75,6.91,US,2022-02-10 01:40:12
132,Hobart,-42.8794,147.3294,71.46,45,75,16.11,AU,2022-02-10 01:35:09
133,Vanimo,-2.6741,141.3028,84.87,69,31,2.55,PG,2022-02-10 01:42:03
134,Kodiak,57.79,-152.4072,18.91,45,0,20.71,US,2022-02-10 01:32:38
135,Oyem,1.5995,11.5793,67.28,97,74,2.68,GA,2022-02-10 01:42:04
136,Sharan,54.8167,54.0,17.6,89,100,12.37,RU,2022-02-10 01:42:05
137,Bang Krathum,16.5783,100.3003,86.99,34,8,1.59,TH,2022-02-10 01:42:05
138,Huangchuan,32.1272,115.0394,42.24,68,3,3.83,CN,2022-02-10 01:42:06
139,Huron,41.1501,-82.5499,40.44,81,100,9.64,US,2022-02-10 01:42:06
140,Santa Rosa,14.3122,121.1114,85.08,64,60,13.51,PH,2022-02-10 01:37:08
141,Kovdor,67.5662,30.4758,20.62,94,99,6.8,RU,2022-02-10 01:42:07
142,Norman Wells,65.282,-126.8329,-7.56,71,100,3.44,CA,2022-02-10 01:42:08
143,Provideniya,64.3833,-173.3,-3.89,59,0,17.9,RU,2022-02-10 01:42:09
144,Hervey Bay,-25.2986,152.8535,88.03,56,0,8.01,AU,2022-02-10 01:42:09
145,Beira,-19.8436,34.8389,73.74,91,2,6.02,MZ,2022-02-10 01:42:10
146,Severo-Kurilsk,50.6789,156.125,30.97,75,100,18.92,RU,2022-02-10 01:42:11
147,Sawakin,19.1059,37.3321,74.08,83,60,7.78,SD,2022-02-10 01:42:12
148,Brigantine,39.4101,-74.3646,42.85,86,0,8.05,US,2022-02-10 01:42:13
149,Airai,-8.9266,125.4092,71.37,76,80,0.92,TL,2022-02-10 01:42:13
150,Thompson,55.7435,-97.8558,-0.24,65,100,2.3,CA,2022-02-10 01:42:14
151,Quelimane,-17.8786,36.8883,71.51,96,3,3.89,MZ,2022-02-10 01:37:30
152,Geraldton,-28.7667,114.6,82.81,34,0,5.75,AU,2022-02-10 01:40:35
153,Ponta Do Sol,32.6667,-17.1,65.12,58,100,3.8,PT,2022-02-10 01:32:44
154,Marsh Harbour,26.5412,-77.0636,72.18,79,86,10.69,BS,2022-02-10 01:40:56
155,Mahebourg,-20.4081,57.7,73.26,76,91,5.32,MU,2022-02-10 01:42:16
156,Codrington,-38.2667,141.9667,65.77,57,96,14.72,AU,2022-02-10 01:42:17
157,Orichi,58.4036,49.0572,27.86,96,100,9.08,RU,2022-02-10 01:42:17
158,Sorland,67.667,12.6934,40.98,73,100,27.25,NO,2022-02-10 01:42:18
159,Komsomolskiy,40.4272,71.7189,35.02,86,100,2.3,UZ,2022-02-10 01:42:18
160,Clyde River,70.4692,-68.5914,-12.77,70,100,28.77,CA,2022-02-10 01:42:19
161,Butaritari,3.0707,172.7902,81.79,77,100,15.26,KI,2022-02-10 01:42:20
162,Arraial Do Cabo,-22.9661,-42.0278,70.5,88,93,9.01,BR,2022-02-10 01:42:20
163,Ginir,7.1333,40.7,56.1,43,28,1.92,ET,2022-02-10 01:42:21
164,Mount Gambier,-37.8333,140.7667,67.91,45,100,17.27,AU,2022-02-10 01:42:22
165,Lompoc,34.6391,-120.4579,74.12,28,0,4.61,US,2022-02-10 01:41:10
166,Cao Bang,22.6667,106.25,51.37,97,100,2.33,VN,2022-02-10 01:42:22
167,Key Largo,25.0865,-80.4473,62.6,80,89,15.03,US,2022-02-10 01:42:23
168,San Pedro,14.35,121.0167,84.31,65,40,3.44,PH,2022-02-10 01:42:24
169,Stanislav,46.5691,32.1478,33.15,87,8,7.74,UA,2022-02-10 01:42:24
170,Cabo San Lucas,22.8909,-109.9124,72.7,64,20,11.5,MX,2022-02-10 01:38:52
171,Coos Bay,43.3665,-124.2179,57.24,88,0,14.97,US,2022-02-10 01:41:29
172,Saldanha,-33.0117,17.9442,62.65,93,38,3.06,ZA,2022-02-10 01:40:40
173,Pevek,69.7008,170.3133,-31.11,99,98,4.99,RU,2022-02-10 01:33:58
174,Port Hueneme,34.1478,-119.1951,82.62,15,0,12.66,US,2022-02-10 01:40:24
175,Chokurdakh,70.6333,147.9167,-20.9,98,100,11.97,RU,2022-02-10 01:36:26
176,Longyearbyen,78.2186,15.6401,13.84,85,40,6.91,SJ,2022-02-10 01:42:27
177,Maldonado,-34.6667,-54.9167,67.39,84,7,7.38,UY,2022-02-10 01:41:56
178,Karratha,-20.7377,116.8463,88.05,61,6,16.04,AU,2022-02-10 01:40:47
179,Louis Trichardt,-23.0439,29.9032,66.0,82,1,4.29,ZA,2022-02-10 01:42:28
180,Makat,47.6469,53.3463,27.91,85,100,19.44,KZ,2022-02-10 01:43:29
181,Salemi,37.8231,12.8056,47.82,64,0,5.57,IT,2022-02-10 01:43:29
