City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
632,Ponta Pora,-22.5361,-55.7256,71.04,51,0,7.72,BR,2022-02-12 01:37:52,clear sky
633,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.17,98,100,1.12,BR,2022-02-12 01:37:52,moderate rain
634,Blankenberge,51.3131,3.1323,37.35,82,100,12.19,BE,2022-02-12 01:37:53,overcast clouds
635,Bangangte,5.1409,10.5198,61.68,66,16,2.55,CM,2022-02-12 01:37:53,few clouds
636,Agirish,61.9247,63.0231,2.28,92,100,10.67,RU,2022-02-12 01:37:54,overcast clouds
637,Mbandaka,0.0487,18.2603,76.03,48,99,1.01,CD,2022-02-12 01:37:54,overcast clouds
638,Hambantota,6.1241,81.1185,75.54,100,20,5.75,LK,2022-02-12 01:37:54,few clouds
639,Maragogi,-9.0122,-35.2225,79.21,80,19,8.03,BR,2022-02-12 01:37:55,few clouds
640,Eyl,7.9803,49.8164,71.49,68,100,12.15,SO,2022-02-12 01:37:55,overcast clouds
641,Mul,20.0667,79.6667,57.69,32,89,5.28,IN,2022-02-12 01:37:55,overcast clouds
642,Villa Del Rosario,7.8339,-72.4742,75.58,73,40,3.44,CO,2022-02-12 01:37:56,scattered clouds
643,Palana,59.1167,159.9667,-2.58,84,17,5.35,RU,2022-02-12 01:37:56,few clouds
644,Humaita,-7.5061,-63.0208,73.96,97,100,2.28,BR,2022-02-12 01:37:57,moderate rain
645,Beira,-19.8436,34.8389,82.49,69,40,11.5,MZ,2022-02-12 01:37:57,scattered clouds
646,Dirba,30.0667,75.9833,45.39,61,0,6.02,IN,2022-02-12 01:37:57,clear sky
647,Glace Bay,46.1969,-59.957,30.96,87,20,8.05,CA,2022-02-12 01:37:58,few clouds
648,Bugulma,54.55,52.8,22.05,97,100,5.7,RU,2022-02-12 01:37:58,light snow
649,La Ronge,55.1001,-105.2842,-7.35,71,100,3.44,CA,2022-02-12 01:37:58,overcast clouds
650,Whitefish,48.4111,-114.3376,37.15,60,0,3.44,US,2022-02-12 01:33:11,clear sky
651,Ewa Beach,21.3156,-158.0072,81.77,57,0,12.66,US,2022-02-12 01:36:52,clear sky
652,Vetlanda,57.4289,15.0776,30.07,76,7,12.24,SE,2022-02-12 01:38:59,clear sky
653,Jaroslaw,50.0162,22.6778,36.81,81,87,13.38,PL,2022-02-12 01:39:00,overcast clouds
654,Karratha,-20.7377,116.8463,91.56,52,6,8.01,AU,2022-02-12 01:39:00,clear sky
655,Krasnoselkup,65.7,82.4667,-11.69,86,2,9.8,RU,2022-02-12 01:39:00,clear sky
656,Dali,25.7,100.1833,46.87,64,0,2.51,CN,2022-02-12 01:39:01,clear sky
657,Natal,-5.795,-35.2094,82.62,83,75,9.22,BR,2022-02-12 01:35:07,broken clouds
658,Padre Bernardo,-15.35,-48.5,67.73,93,100,1.19,BR,2022-02-12 01:39:01,overcast clouds
659,Redwater,33.3582,-94.2544,61.48,44,39,4.79,US,2022-02-12 01:39:02,scattered clouds
660,Mendi,-6.1761,143.6513,70.25,42,96,4.92,PG,2022-02-12 01:39:02,overcast clouds
661,Nueva Guinea,11.6876,-84.4562,70.84,94,54,7.02,NI,2022-02-12 01:39:02,broken clouds
662,Lockport,41.5895,-88.0578,31.98,82,100,14.97,US,2022-02-12 01:39:03,overcast clouds
663,Loikaw,19.6742,97.2094,69.98,24,62,1.28,MM,2022-02-12 01:39:03,broken clouds
664,Ikot Ekpene,5.1794,7.7108,76.44,84,2,3.42,NG,2022-02-12 01:39:04,clear sky
665,Salinas,36.6777,-121.6555,74.21,49,0,12.66,US,2022-02-12 01:39:04,clear sky
666,Alta Floresta,-9.8756,-56.0861,71.92,96,96,2.06,BR,2022-02-12 01:39:04,overcast clouds
667,Port Augusta,-32.5,137.7667,85.71,19,0,3.62,AU,2022-02-12 01:39:05,clear sky
668,Makanya,-4.3667,37.8333,69.94,89,100,1.95,TZ,2022-02-12 01:39:06,overcast clouds
669,Cairns,-16.9167,145.7667,91.29,62,40,8.05,AU,2022-02-12 01:39:06,scattered clouds
670,Kalmunai,7.4167,81.8167,76.66,88,99,4.54,LK,2022-02-12 01:39:06,overcast clouds
671,Chulman,56.8479,124.9104,-18.49,93,100,4.0,RU,2022-02-12 01:39:07,overcast clouds
672,Catamarca,-28.4696,-65.7852,71.78,87,100,1.99,AR,2022-02-12 01:34:57,overcast clouds
673,Banikoara,11.2985,2.4386,71.92,14,35,5.37,BJ,2022-02-12 01:39:07,scattered clouds
674,Poltavka,54.3663,71.7632,-7.17,93,100,15.3,RU,2022-02-12 01:39:08,overcast clouds
675,Naryan-Mar,67.6713,53.087,13.73,91,100,17.43,RU,2022-02-12 01:39:08,light snow
676,Trat,12.5,102.5,83.25,81,100,1.12,TH,2022-02-12 01:39:08,overcast clouds
677,Castletown,53.0281,-9.0686,46.89,92,100,18.79,IE,2022-02-12 01:39:09,overcast clouds
678,Aswan,24.0934,32.907,49.3,49,0,6.91,EG,2022-02-12 01:39:09,clear sky
679,Bowling Green,36.9903,-86.4436,63.34,33,100,8.05,US,2022-02-12 01:39:10,overcast clouds
680,Jeremoabo,-10.075,-38.4808,72.79,77,19,4.94,BR,2022-02-12 01:39:10,few clouds
681,Jiaojiang,28.6803,121.4428,51.01,88,94,7.16,CN,2022-02-12 01:39:10,overcast clouds
682,Baijiantan,45.6333,85.1833,8.85,96,100,4.34,CN,2022-02-12 01:39:11,overcast clouds
683,San Vicente De Canete,-13.0751,-76.3835,70.18,84,100,2.53,PE,2022-02-12 01:39:11,overcast clouds
684,Guarapari,-20.6667,-40.4975,73.29,94,100,6.6,BR,2022-02-12 01:39:11,overcast clouds
685,Boa Vista,2.8197,-60.6733,84.18,54,0,5.75,BR,2022-02-12 01:39:12,clear sky
686,Matara,5.9485,80.5353,75.54,89,100,7.05,LK,2022-02-12 01:39:12,overcast clouds
687,North Bend,43.4065,-124.2243,58.91,85,0,9.22,US,2022-02-12 01:39:13,clear sky
688,Whitecourt,54.1502,-115.6855,31.24,43,75,6.91,CA,2022-02-12 01:37:16,broken clouds
689,Kajaani,64.2273,27.7285,12.25,92,35,4.61,FI,2022-02-12 01:39:13,scattered clouds
690,Berbera,10.4396,45.0143,72.66,65,33,5.68,SO,2022-02-12 01:39:14,scattered clouds
691,Santiago,-33.4569,-70.6483,73.85,42,0,8.05,CL,2022-02-12 01:39:14,clear sky
692,Goya,-29.14,-59.2626,77.34,50,88,16.6,AR,2022-02-12 01:39:14,overcast clouds
693,Shanhetun,44.7,127.2,7.11,90,96,5.55,CN,2022-02-12 01:39:15,overcast clouds
694,Dingle,10.9995,122.6711,80.62,81,98,11.79,PH,2022-02-12 01:39:15,overcast clouds
695,Pahrump,36.2083,-115.9839,75.25,12,0,7.49,US,2022-02-12 01:38:41,clear sky
696,Killin,33.6123,-91.7412,66.15,34,0,6.91,US,2022-02-12 01:39:16,clear sky
697,Yarovoye,52.9273,78.58,-13.0,100,84,9.42,RU,2022-02-12 01:39:16,broken clouds
